Latitude,Longitude,Date,OSM,Forest,Precipitation1,Precipitation2,Damage,Dams,Output_Label
34,-81.02,12/2009/25,1634,0,42.3,1.1,4000,19.27286219,1
34.08,-81.18,12/2009/25,629,0,39.3,1.1,8000,4.803233409,1
34.095,-80.9706,12/2009/25,45,0,42.3,1.1,8000,23.42647566,1
34.72,-80.77,12/2009/25,13,0,23.3,0.5,10000,17.0603882,1
34.72,-80.77,12/2009/25,13,0,23.3,0.5,10000,17.0603882,1
35.42,-89.5678,12/2009/8,2,0,53.6,3,0,89.43649081,1
45.5068,-122.519,11/2009/7,3938,0,33.8,21.2,0,15.92416528,1
45.5308,-122.826,11/2009/7,1065,0,34.9,16.1,0,18.0104407,1
38.6694,-92.7964,10/2009/30,3,0,0,63.1,0,53.56971184,1
38.78,-90.5,10/2009/29,507,0,9.6,0,0,82.84817213,1
30.1416,-85.753,12/2009/2,2230,0,156.7,20.4,0,55.38434774,1
29.8176,-85.3051,12/2009/2,101,0,71.5,15.2,0,36.56703283,1
30.0421,-84.388,12/2009/2,15,0,63.2,11.5,0,46.0757834,1
33.461,-94.0432,11/2009/29,246,0,8.9,0,10000,20.40547237,1
39.22,-92.13,10/2009/22,37,0,53.4,0,0,53.59114429,1
39.9566,-92.2989,10/2009/22,3,0,76.4,0.6,0,18.83228493,1
39.9282,-91.9092,10/2009/22,1,0,73.7,0.5,0,33.75777942,1
39.04,-92.0922,10/2009/22,4,0,53.4,0,0,66.18640048,1
39.5109,-92.0524,10/2009/22,8,0,24.1,0,0,34.68924551,1
38.6818,-90.3042,10/2009/23,79,0,23,47.4,0,63.72080312,1
37.7399,-93.2108,11/2009/15,6,0,34.6,1,0,20.01954809,1
38.44,-92.99,11/2009/15,10,0,34.5,1.2,0,40.96184853,1
41.4888,-92.8635,11/2009/1,3,0,0,0,10000,16.51866911,1
32.9442,-93.5184,11/2009/1,4,0,0,0,100000,12.10557173,1
38.7139,-91.443,10/2009/29,24,0,51,0.1,0,67.31379704,1
42.52,-71.2,07/2009/7,587,0,18.9,0,50000,20.2641501,1
39.1317,-91.5848,10/2009/8,3,0,121.3,0.1,0,44.20100655,1
39.1982,-90.7587,10/2009/8,4,0,59.2,0,0,76.66607169,1
31.8855,-102.3757,06/2009/20,101,0,49.3,72.7,0,79.56895652,1
35.04,-82.2191,11/2009/11,123,0,44.7,36.1,0,8.486520428,1
35.353,-80.679,11/2009/11,127,0,56.7,57.4,0,9.839456067,1
38.5772,-92.0242,11/2009/15,5,0,10.5,0.8,0,66.79891443,1
38.5541,-92.0174,11/2009/15,8,0,10.5,0.8,0,65.72920069,1
38.7337,-92.0874,10/2009/8,5,0,125,0.6,0,75.14805212,1
38.678,-90.7807,10/2009/8,4,0,71.6,0,0,86.49138028,1
39.3196,-91.4648,10/2009/8,11,0,102.7,0.1,0,27.86372953,1
38.76,-91.1852,10/2009/8,9,0,80.7,0,0,76.1962259,1
35.312,-82.654,11/2009/11,20,0,86.1,55,0,27.55750963,1
34.595,-82.2888,11/2009/11,12,0,46.3,42.2,0,44.54861702,1
35.024,-86.6648,09/2009/20,9,0,28.3,63.1,0,60.19280787,1
35.3189,-86.5435,09/2009/20,7,0,19.4,60.3,0,31.80965024,1
35.425,-82.592,11/2009/11,163,0,38.8,39.5,5000,34.61986556,1
29.2756,-103.3079,06/2009/16,31,0,0,0.7,0,194.2373145,1
35.353,-80.679,11/2009/11,127,0,56.7,57.4,0,9.839456067,1
35.04,-82.2191,11/2009/11,123,0,44.7,36.1,0,8.486520428,1
35.425,-82.592,11/2009/11,163,0,38.8,39.5,0,34.61986556,1
34.2166,-85.949,10/2009/15,2,0,7.7,42.3,0,18.62861734,1
39.05,-92.18,10/2009/8,5,0,51.3,0.7,0,68.69676799,1
33.7,-80.22,07/2009/6,16,0,30.7,12.9,2000,28.0218374,1
36.7777,-83.1747,12/2009/9,5,0,18.9,10.1,0,47.17004303,1
